Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
World,503103301,237134,6218384,819,453527874,339225,43357043,43063,64543,797.8,0,0,0
USA,82252965,0,1014902,0,80095639,292,1142424,1536,245929,3034,994742849,2974186,334458823
India,43039972,0,521772,0,42507038,0,11162,698,30652,372,794525202,565836,1404161824
Brazil,30234024,0,661855,0,29191158,0,381011,8318,140460,3075,63776166,296289,215249843
France,27447397,0,143910,0,24635972,0,2667515,1541,418848,2196,260504402,3975303,65530697
Germany,23277316,0,133215,0,19674300,229700,3469801,1980,276253,1581,122332384,1451827,84260978
UK,21747638,0,171396,0,20048794,0,1527448,355,317386,2501,512140269,7474209,68520995
Russia,18053359,11432,373027,261,17340639,19523,339693,2300,123614,2554,273400000,1872014,146045885
S. Korea,16104869,125808,20616,264,N/A,N/A,N/A,999,313643,401,15804065,307785,51347751
Italy,15533012,0,161336,0,14144014,0,1227662,420,257581,2675,208014099,3449452,60303524
Turkey,14983158,0,98514,0,14705256,0,179388,975,174314,1146,156696697,1823011,85954904
Spain,11662214,0,103266,0,11120708,0,438240,368,249262,2207,471036328,10067670,46787024
Vietnam,10320599,0,42901,0,8856627,0,1421071,1161,104356,434,85547798,865010,98898007
Argentina,9059351,0,128306,0,8891306,0,39739,412,197224,2793,35696389,777120,45934213
Netherlands,8011448,0,22148,0,7244824,0,744476,108,465717,1287,21107399,1227004,17202382
Iran,7202055,0,140744,0,6934664,0,126647,1441,83836,1638,50079995,582956,85906977
Japan,7180734,0,28825,0,6642021,0,509888,467,57086,229,45167148,359076,125787084
Colombia,6089176,0,139738,0,5922410,0,27028,342,117442,2695,34226470,660124,51848522
Indonesia,6037742,0,155794,0,5817904,0,64044,2771,21666,559,93725462,336327,278673384
Poland,5983864,1201,115809,34,5334009,102,534046,268,158417,3066,35924946,951080,37772804
Mexico,5724611,0,323848,0,5025527,0,375236,4798,43585,2466,15691493,119468,131344642
Australia,5308287,45999,6727,34,4821415,0,480145,126,203956,258,68170492,2619257,26026656
Ukraine,4990465,0,108220,0,N/A,N/A,N/A,177,115344,2501,19521252,451192,43265976
