Unnamed: 0,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop,Continent
0,World,506295583,434098,6229129,1227,458388024.0,470291.0,41678430.0,41802,64953,799.1,0,0,0,
1,USA,82416687,0,1016159,0,80276197.0,0.0,1124331.0,1436,246399,3038.0,997115318,2981044,334485290,North America
2,India,43047594,0,522006,0,42513248.0,0.0,12340.0,698,30653,372.0,832506755,592807,1404347026,Asia
3,Brazil,30279270,0,662266,0,29298848.0,0.0,318156.0,8318,140657,3076.0,63776166,296261,215270453,South America
4,France,27816299,0,144387,0,25301145.0,0.0,2370767.0,1541,424465,2203.0,260504402,3975184,65532665,Europe
5,Germany,23724610,136255,133824,291,20609400.0,261500.0,2981386.0,1980,281549,1588.0,122332384,1451764,84264628,Europe
6,UK,21863944,0,171878,0,20498917.0,0.0,1193149.0,355,319061,2508.0,512140269,7473679,68525857,
7,Russia,18101986,9195,374171,223,17423428.0,16200.0,304387.0,2300,123947,2562.0,273400000,1872003,146046737,Europe
8,S. Korea,16583220,111280,21520,166,,,,808,322955,419.0,15804065,307781,51348351,
9,Italy,15758002,0,161893,0,14387830.0,0.0,1208279.0,422,261317,2685.0,209450124,3473335,60302314,Europe
10,Turkey,15003696,0,98610,0,14780437.0,0.0,124649.0,975,174528,1147.0,157511562,1832227,85967295,Asia
11,Spain,11736893,0,103721,0,11220981.0,0.0,412191.0,345,250857,2217.0,471036328,10067617,46787271,Europe
12,Vietnam,10502590,13271,42982,7,9068234.0,2540.0,1391374.0,896,106183,435.0,85724870,866696,98909959,Asia
13,Argentina,9060923,0,128344,0,8895999.0,0.0,36580.0,412,197234,2794.0,35716069,777452,45939873,South America
14,Netherlands,8029998,3518,22178,10,7521150.0,31909.0,486670.0,107,466782,1289.0,21107399,1226968,17202898,Europe
15,Japan,7440164,37631,29102,53,6920097.0,45082.0,490965.0,214,59151,231.0,46045240,366072,125781818,Asia
16,Iran,7212395,1607,140896,19,6954941.0,2934.0,116558.0,1225,83942,1640.0,50079995,582856,85921663,Asia
17,Colombia,6089998,0,139754,0,5923443.0,0.0,26801.0,342,117441,2695.0,34287337,661204,51855927,South America
18,Indonesia,6042010,741,155974,37,5840945.0,4635.0,45091.0,2771,21678,560.0,94510650,339097,278712873,Asia
19,Poland,5987341,1527,115869,31,5334188.0,89.0,537284.0,268,158512,3068.0,35975804,952440,37772240,Europe
