,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Tot per 1M,Deaths per 1M,Tests,Tests per 1M,Pop
0,World,529936771,395235,6306910,825,500426256,438865,23203605,37689,67986,809.1,0,0,0
1,USA,85440340,0,1030415,0,81851405,0,2558520,2392,255293,3079,1023826476,3059159,334675850
2,India,43144820,0,524525,0,42604881,0,15414,698,30693,373,847958776,603237,1405680477
3,Brazil,30846602,0,666112,0,29895469,0,285021,8318,143194,3092,63776166,296057,215418845
4,France,29413371,0,148056,0,28701859,0,563456,1173,448738,2259,271490188,4141927,65546831
5,Germany,26239348,34346,139112,86,25016800,84700,1083436,741,311295,1650,122332384,1451312,84290911
6,UK,22276975,0,178313,0,21875156,0,223506,188,324923,2601,522526476,7621352,68560862
7,Russia,18310673,4700,378700,91,17713532,6455,218441,2300,125370,2593,273400000,1871925,146052871
8,S. Korea,18036720,18797,24063,34,17520369,40041,492288,243,351232,469,15804065,307755,51352677
9,Italy,17333299,20322,166358,94,16411953,58368,754988,262,287482,2759,220238476,3652767,60293604
10,Turkey,15065767,0,98939,0,14963420,0,3408,975,175068,1150,161938716,1881772,86056511
11,Spain,12280345,0,106105,0,11679931,0,494309,339,262462,2268,471036328,10067235,46789046
12,Vietnam,10714008,1275,43078,0,9422085,7223,1248845,169,108227,435,85814917,866852,98996017
13,Argentina,9178795,0,128825,0,8895999,0,153971,300,199623,2802,35716069,776763,45980626
14,Japan,8705990,34869,30418,49,8353952,40493,321620,95,69236,242,51929742,412980,125743902
15,Netherlands,8080032,0,22314,0,8018259,0,39459,38,469589,1297,21107399,1226703,17206616
16,Iran,7231099,217,141296,3,7041125,1783,48678,609,84056,1642,52090424,605510,86027405
17,Australia,7117601,46021,8336,72,6722309,0,386956,101,273126,320,71559933,2745990,26059789
18,Colombia,6099111,0,139833,0,5930545,0,28733,342,117496,2694,34792844,670263,51909240
19,Indonesia,6053670,246,156556,3,5894103,243,3011,2771,21698,561,98415619,352748,278997192
20,Poland,6006547,249,116299,9,5335354,34,554894,981,159037,3079,36313054,961472,37768179
21,Mexico,5759773,0,324768,0,5054809,0,380196,4798,43802,2470,15950212,121298,131496294
22,Ukraine,5011433,0,108538,0,N/A,N/A,N/A,177,115907,2510,19521252,451497,43236698
23,Malaysia,4497212,0,35653,0,4436387,0,25172,31,135659,1075,59701912,1800922,33150747
24,Thailand,4429674,4924,29884,37,4353198,5560,46592,1496,63162,426,17270775,246263,70131416
25,Austria,4243293,2998,18632,13,4184997,3560,39664,43,466109,2047,187227485,20566207,9103647
26,Belgium,4143408,0,31710,0,4004403,2645,107295,92,354590,2714,34011375,2910668,11685074
27,Israel,4128001,0,10833,0,4103149,0,14019,150,442634,1162,41373364,4436346,9326000
28,Portugal,4066674,0,22583,0,N/A,N/A,N/A,61,401035,2227,42483884,4189544,10140456
29,South Africa,3941045,0,101043,0,3784925,0,55077,192,64901,1664,25138638,413984,60723764
30,Czechia,3919098,359,40280,1,3876918,117,1900,9,364683,3748,55384908,5153726,10746576
31,Canada,3857203,1922,40826,32,3525256,1748,291121,354,100531,1064,61740072,1609139,38368399
32,Philippines,3689656,199,60455,0,3626878,133,2323,480,32843,538,30098345,267919,112341108
33,Chile,3665862,8674,57851,16,3491492,1328,116519,129,188702,2978,38283970,1970684,19426738
34,Switzerland,3650661,0,13948,0,3586374,1617,50339,45,416058,1590,21054092,2399491,8774399
35,Peru,3577241,0,213134,0,N/A,N/A,N/A,184,105707,6298,30514300,901696,33841018
36,Greece,3436046,4048,29756,13,3359563,4306,46727,141,332733,2881,82238808,7963681,10326733
37,DPRK,3170380,105500,68,0,2898500,157030,271812,0,121972,3,0,0,25992610
38,Denmark,2982572,483,6343,4,2968769,687,7460,11,511520,1088,127426765,21854072,5830802
39,Romania,2907591,381,65669,6,N/A,N/A,N/A,101,153072,3457,23065296,1214288,18994915
40,Sweden,2507948,0,18944,0,2481125,0,7879,7,245434,1854,18592451,1819500,10218439
41,Iraq,2327665,108,25218,0,2301422,113,1025,8,55513,601,18573748,442969,41930172
42,Serbia,2016266,264,16076,2,1993905,298,6285,10,232536,1854,9681461,1116561,8670785
43,Bangladesh,1953356,28,29130,0,1901795,195,22431,1259,11641,174,14103302,84051,167794436
44,Hungary,1917777,0,46507,0,1841731,0,29539,18,199479,4837,11394556,1185212,9613939
45,Slovakia,1789037,172,20091,3,1766240,345,2706,23,327384,3677,7142669,1307069,5464646
46,Jordan,1694216,0,14048,0,1678941,0,1227,124,162987,1351,16670254,1603707,10394822
47,Georgia,1655221,0,16811,0,1637293,0,1117,0,416441,4230,16920079,4256967,3974679
48,Taiwan,1640271,81907,1658,104,230878,0,1407735,0,68635,69,17518995,733063,23898347
49,Ireland,1561632,0,7271,0,1534158,6926,20203,24,309715,1442,12210682,2421714,5042166
50,Pakistan,1530064,76,30379,0,1496123,0,3562,75,6681,133,28509043,124489,229007912
51,Norway,1432335,0,3141,0,N/A,N/A,N/A,20,260355,571,11002430,1999909,5501464
52,Kazakhstan,1305715,5,13661,0,1291885,0,169,24,68000,711,11575012,602811,19201735
53,Singapore,1282280,0,1380,0,1200021,0,80879,5,215966,232,23877882,4021596,5937415
54,Hong Kong,1211338,251,9374,2,N/A,N/A,N/A,5,159134,1231,44972952,5908098,7612086
55,Morocco,1167086,0,16076,0,1149865,0,1145,293,30926,426,11237010,297760,37738482
56,Bulgaria,1164122,0,37115,0,1046744,0,80263,38,169957,5419,9980683,1457141,6849497
57,Croatia,1135549,421,15978,5,1116632,372,2939,5,279873,3938,4871108,1200557,4057373
58,New Zealand,1129749,7674,1057,16,1078521,9166,50171,0,225855,211,71423774,14278758,5002100
59,Cuba,1105136,45,8529,0,1096336,47,271,23,97683,754,13842131,1223502,11313534
60,Lebanon,1098791,0,10422,0,1086039,0,2330,186,162360,1540,4795578,708607,6767617
61,Finland,1092193,10968,4522,116,N/A,N/A,N/A,21,196543,814,10911396,1963538,5557008
62,Lithuania,1062070,136,9138,1,1035702,157,17230,9,400712,3448,9972796,3762673,2650455
63,Tunisia,1042362,0,28632,0,N/A,N/A,N/A,29,86484,2376,4618974,383233,12052651
64,Slovenia,1023918,330,6634,3,1011721,610,5563,6,492392,3190,2664422,1281293,2079479
65,Belarus,982867,0,6978,0,N/A,N/A,N/A,0,104079,739,13220483,1399964,9443442
66,Nepal,979105,14,11952,0,967024,13,129,0,32498,397,5693647,188979,30128419
67,Uruguay,916388,0,7227,0,901555,0,7606,18,262086,2067,6114822,1748835,3496512
68,Bolivia,907958,191,21946,1,867281,409,18731,220,75825,1833,2705422,225935,11974341
69,UAE,906236,395,2302,0,889943,334,13991,0,89580,228,161440895,15958112,10116541
70,Costa Rica,891038,0,8495,0,854426,0,28117,45,171944,1639,4575910,883014,5182150
71,Ecuador,874750,0,35617,0,N/A,N/A,N/A,759,48196,1962,2470170,136097,18150019
72,Guatemala,858015,0,18024,0,837025,0,2966,5,46273,972,4627420,249556,18542645
73,Panama,839746,0,8236,0,802481,0,29029,16,188992,1854,6173831,1389471,4443296
74,Latvia,827889,190,5820,2,819674,196,2395,7,448294,3151,7251464,3926598,1846755
75,Azerbaijan,792714,0,9710,0,782957,0,47,0,76872,942,6874348,666628,10312127
76,Saudi Arabia,765305,516,9138,3,749704,563,6463,83,21353,255,42434847,1184014,35839828
77,Sri Lanka,663800,14,16513,0,646945,2,342,0,30755,765,6486117,300518,21583155
78,Paraguay,650283,0,18885,0,624673,0,6725,4,89100,2588,2633737,360868,7298338
79,Kuwait,632781,0,2555,0,629695,0,531,4,144139,582,8098920,1844820,4390086
80,Myanmar,613260,4,19434,0,592244,15,1582,0,11130,353,8168040,148240,55100078
81,Bahrain,582694,0,1485,0,577234,0,3975,3,321319,819,9826906,5418913,1813446
82,Palestine,582363,0,5356,0,576879,0,128,17,109348,1006,3078533,578044,5325776
83,Dominican Republic,581869,0,4377,0,576469,0,1023,6,52640,396,3330448,301295,11053777
84,Estonia,576047,0,2561,0,518188,0,55298,6,433698,1928,3368271,2535923,1328223
85,Venezuela,523444,0,5718,0,516644,0,1082,230,18507,202,3359014,118762,28283498
86,Moldova,518793,0,11521,0,504142,0,3130,49,129174,2869,3216305,800828,4016224
87,Egypt,515645,0,24613,0,442182,0,48850,122,4865,232,3693367,34848,105986483
88,Libya,501904,0,6430,0,490973,0,4501,101,71211,912,2477219,351473,7048109
89,Cyprus,477711,0,1032,0,124370,0,352309,60,390289,843,9477138,7742810,1223992
90,Ethiopia,471678,0,7513,0,455832,0,8333,12,3919,62,4882449,40568,120350955
91,Mongolia,469885,0,2179,0,313256,0,154450,192,139094,645,4030048,1192961,3378189
92,Honduras,425087,0,10899,0,132401,0,281787,105,41664,1068,1375498,134817,10202697
93,Armenia,422939,0,8624,0,412240,0,2075,0,142225,2900,3089295,1038864,2973724
94,Réunion,414615,0,777,0,406484,0,7354,10,456924,856,1603660,1767305,907404
95,Oman,389473,0,4260,0,384669,0,544,2,72767,796,25000000,4670866,5352326
96,Bosnia and Herzegovina,377829,36,15787,1,N/A,N/A,N/A,0,116534,4869,1774733,547383,3242213
97,Qatar,367807,190,677,0,365878,110,1252,0,130994,241,3525279,1255528,2807805
98,Kenya,324406,0,5651,0,318375,0,380,0,5792,101,3655967,65271,56012233
99,Zambia,321399,57,3985,0,316787,76,627,0,16603,206,3473362,179429,19357914
100,North Macedonia,311592,108,9300,0,301728,77,564,0,149573,4464,2044880,981600,2083212
101,Botswana,307126,0,2695,0,303845,0,586,1,125796,1104,2026898,830197,2441467
102,Albania,275985,0,3497,0,272206,0,282,2,96100,1218,1825104,635515,2871851
103,Algeria,265862,0,6875,0,178399,0,80588,6,5863,152,230861,5091,45349347
104,Nigeria,255972,0,3143,0,250024,0,2805,11,1186,15,5160280,23912,215805443
105,Zimbabwe,251228,0,5496,0,243366,0,2366,12,16450,360,2315409,151608,15272354
106,Luxembourg,244182,0,1073,0,235939,0,7170,0,378431,1663,4248188,6583796,645249
107,Uzbekistan,238975,11,1637,0,237195,15,143,23,6950,48,1377915,40071,34387099
108,Montenegro,236862,0,2719,0,233705,0,438,6,377039,4328,2471512,3934176,628216
109,Mozambique,225626,0,2203,0,223319,0,104,13,6855,67,1324518,40244,32911946
110,China,223735,130,5225,1,215123,441,3387,170,155,4,160000000,111163,1439323776
111,Laos,209888,27,754,0,N/A,N/A,N/A,0,28077,101,1232128,164826,7475344
112,Kyrgyzstan,200993,0,2991,0,196406,0,1596,131,29875,445,1907195,283477,6727876
113,Iceland,187664,0,153,0,N/A,N/A,N/A,0,543270,443,1925385,5573814,345434
114,Afghanistan,179835,64,7699,0,162741,0,9395,1124,4431,190,958454,23615,40587049
115,Maldives,179662,0,298,0,163687,0,15677,25,321653,534,2213831,3963476,558558
116,Namibia,165346,0,4035,0,158397,0,2914,0,62918,1535,1032733,392977,2627975
117,Martinique,164411,0,931,0,104,0,163376,8,438764,2485,828928,2212162,374714
118,Uganda,164069,0,3596,0,100205,0,60268,2,3385,74,2612795,53902,48473448
119,El Salvador,162089,0,4131,0,150662,0,7296,8,24753,631,1950448,297863,6548140
120,Ghana,161370,0,1445,0,159881,0,44,1,4996,45,2447976,75788,32300151
121,Trinidad and Tobago,159719,0,3899,0,146311,0,9509,18,113432,2769,742369,527227,1408064
122,Brunei,147493,222,223,1,145694,267,1576,0,331143,501,717784,1611527,445406
123,Guadeloupe,140130,0,854,0,2250,0,137026,19,350104,2134,938039,2343615,400253
124,Cambodia,136262,0,3056,0,133201,0,5,0,7942,178,2965981,172875,17156823
125,Jamaica,135462,0,3042,0,86444,0,45976,0,45371,1019,1064613,356579,2985626
126,Rwanda,130002,0,1459,0,45522,0,83021,0,9587,108,5399537,398207,13559635
127,Cameroon,119947,0,1930,0,117791,0,226,13,4315,69,1751774,63023,27795974
128,Angola,99194,0,1900,0,97149,0,145,0,2850,55,1499795,43097,34800148
129,Malta,94354,90,719,0,91683,143,1952,4,212620,1620,1917505,4320963,443768
130,DRC,88036,0,1338,0,50930,0,35768,0,930,14,846704,8940,94711940
131,Senegal,86095,2,1966,0,84109,8,20,0,4898,112,1091310,62082,17578655
132,Malawi,85943,0,2639,0,82849,0,455,67,4283,132,582048,29008,20065117
133,French Guiana,82313,0,397,0,11254,0,70662,1,262706,1267,635980,2029758,313328
134,Ivory Coast,82116,0,799,0,81252,0,65,0,2974,29,1518711,54998,27614038
135,Suriname,80416,0,1341,0,49485,0,29590,0,134795,2248,237010,397282,596579
136,Barbados,79628,0,444,0,75935,0,3249,0,276447,1541,682320,2368829,288041
137,Channel Islands,76018,0,176,0,75199,0,643,0,429733,995,1252808,7082173,176896
138,French Polynesia,72898,0,649,0,N/A,N/A,N/A,7,256700,2285,0,0,283981
139,Eswatini,72300,0,1406,0,70421,0,473,11,61121,1189,1025813,867204,1182897
140,Fiji,64941,20,863,1,63034,24,1044,0,71463,950,528662,581754,908738
141,Guyana,64435,0,1232,0,62617,0,586,0,81179,1552,623844,785960,793735
142,Madagascar,64314,0,1393,0,59370,0,3551,6,2215,48,435827,15009,29037756
143,Sudan,62251,0,4941,0,N/A,N/A,N/A,0,1360,108,562941,12295,45786230
144,New Caledonia,61880,0,313,0,60999,0,568,9,212871,1077,98964,340443,290692
145,Bhutan,59614,0,21,0,59564,0,29,0,75682,27,2303734,2924682,787687
146,Mauritania,59083,0,982,0,57824,0,277,0,12105,201,827605,169561,4880866
147,Belize,58873,0,677,0,57081,0,1115,6,143144,1646,559445,1360234,411286
148,Cabo Verde,56172,0,401,0,55669,0,102,23,98996,707,400982,706682,567415
149,Syria,55880,0,3150,0,52610,0,120,0,3053,172,146269,7991,18304957
150,Gabon,47622,0,304,0,47303,0,15,0,20482,131,1595381,686158,2325094
151,Papua New Guinea,44425,0,651,0,43751,0,23,7,4794,70,249149,26884,9267706
152,Seychelles,43729,0,167,0,43040,0,522,0,439492,1678,0,0,99499
153,Curaçao,43522,0,276,0,42622,0,624,3,263191,1669,496693,3003653,165363
154,Andorra,42894,0,153,0,42181,0,560,14,553478,1974,249838,3223758,77499
155,Burundi,41927,30,38,0,N/A,N/A,N/A,0,3338,3,345742,27526,12560689
156,Mauritius,38020,8,996,0,36368,19,656,0,29802,781,358675,281146,1275762
157,Mayotte,37523,0,187,0,2964,0,34372,0,131536,656,176919,620185,285268
158,Togo,37065,0,273,0,36757,0,35,0,4287,32,739187,85497,8645813
159,Guinea,36597,0,442,0,36113,0,42,8,2651,32,660107,47811,13806676
160,Aruba,36316,0,213,0,35808,0,295,0,337434,1979,177885,1652838,107624
161,Tanzania,35354,0,840,0,N/A,N/A,N/A,7,562,13,0,0,62952796
162,Faeroe Islands,34658,0,28,0,N/A,N/A,N/A,5,704231,569,778000,15808510,49214
163,Bahamas,34355,0,810,0,32646,0,899,0,85811,2023,235192,587459,400355
164,Lesotho,32910,0,697,0,24155,0,8058,0,15135,321,431221,198318,2174387
165,Mali,31069,0,734,0,30178,0,157,0,1455,34,681346,31907,21354215
166,Haiti,30781,0,835,0,29669,0,277,0,2639,72,132422,11352,11665578
167,Isle of Man,28416,0,105,0,26794,0,1517,0,330861,1223,150753,1755289,85885
168,Benin,26952,0,163,0,25506,0,1283,5,2118,13,604310,47494,12723917
169,Somalia,26535,0,1350,0,13182,0,12003,0,1586,81,400466,23934,16732021
170,Saint Lucia,25315,0,370,0,24115,0,830,1,136679,1998,143281,773593,185215
171,Cayman Islands,24477,0,28,0,8553,0,15896,1,364333,417,222773,3315913,67183
172,Congo,24079,0,385,0,20178,0,3516,0,4169,67,347815,60227,5775043
173,Timor-Leste,22890,0,131,0,22748,0,11,0,16757,96,265125,194094,1365959
174,Burkina Faso,20853,0,382,0,20439,0,32,0,948,17,248995,11324,21987587
175,Nicaragua,18491,0,225,0,4225,0,14041,0,2730,33,0,0,6773706
176,Gibraltar,18273,0,102,0,16579,0,1592,0,542676,3029,534283,15867278,33672
177,Solomon Islands,18174,0,146,0,16357,0,1671,2,25286,203,5117,7119,718751
178,South Sudan,17575,0,138,0,13514,0,3923,1,1536,12,395064,34527,11442079
179,Grenada,17482,0,225,0,16366,0,891,4,154013,1982,163611,1441380,113510
180,Liechtenstein,17428,0,84,0,17300,0,44,0,454624,2191,102174,2665293,38335
181,Tajikistan,17388,0,124,0,17264,0,0,0,1749,12,0,0,9942947
182,San Marino,17059,0,115,0,16803,0,141,4,500763,3376,152231,4468708,34066
183,Equatorial Guinea,15910,0,183,0,15704,0,23,5,10677,123,320949,215377,1490170
184,Djibouti,15631,0,189,0,15427,0,15,0,15397,186,305941,301364,1015188
185,Bermuda,14755,0,138,0,14305,0,312,0,238588,2231,912963,14762592,61843
186,CAR,14649,0,113,0,6859,0,7677,2,2936,23,81294,16296,4988663
187,Dominica,14184,0,65,0,13775,0,344,0,196117,899,202425,2798863,72324
188,Samoa,12843,0,25,0,1605,0,11213,4,63924,124,105492,525074,200909
189,Monaco,12124,0,57,0,12009,0,58,4,304868,1433,54960,1382016,39768
190,Gambia,12002,0,365,0,11591,0,46,0,4716,143,155686,61171,2545102
191,Greenland,11971,0,21,0,2761,0,9189,4,210180,369,164926,2895674,56956
192,Yemen,11819,0,2149,0,9042,0,628,23,380,69,265253,8538,31068803
193,Tonga,11500,0,11,0,10875,0,614,0,106519,102,535009,4955531,107962
194,Saint Martin,10668,0,63,0,1399,0,9206,7,267275,1578,112382,2815604,39914
195,Sint Maarten,10279,0,86,0,10127,0,66,10,234696,1964,62056,1416901,43797
196,Caribbean Netherlands,10044,0,35,0,9959,0,50,0,376405,1312,30126,1128991,26684
197,Eritrea,9756,0,103,0,9646,0,7,0,2681,28,23693,6510,3639304
198,Niger,9031,0,310,0,8628,0,93,1,349,12,254538,9841,25863968
199,Vanuatu,8807,0,14,0,8561,0,232,0,27460,44,24976,77874,320724
200,Guinea-Bissau,8259,0,171,0,8033,0,55,6,4017,83,138217,67226,2056001
201,Comoros,8100,0,160,0,7933,0,7,0,8954,177,0,0,904649
202,Antigua and Barbuda,8062,0,138,0,7711,0,213,1,81055,1387,18901,190030,99463
203,Sierra Leone,7682,0,125,0,N/A,N/A,N/A,0,927,15,259958,31381,8283913
204,Liberia,7455,0,294,0,5747,0,1414,2,1411,56,139824,26469,5282581
205,Chad,7417,0,193,0,4874,0,2350,0,428,11,191341,11049,17317483
